synthetic_index,matched_real_index,p_duplicate,near_duplicate,exact_match,blocking_match,cae_levenshtein,cae_jaccard,cae_jaro_winkler,win_levenshtein,win_jaccard,win_jaro_winkler,value_ratio,cpv_match,country_match
0,2106.0,0.034987062215805054,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.296914988213266e-08,1.0,1.0
1,8142.0,0.005969837307929993,0,0,1,1.0,1.0,1.0,0.2857142857142857,0.0,0.5236430236430237,0.09768860711292238,1.0,1.0
2,524.0,0.005115274805575609,0,0,1,0.16000000000000003,0.0,0.3650793650793651,1.0,1.0,1.0,1.3668688967424316e-08,1.0,1.0
3,270.0,0.005115274805575609,0,0,1,0.023255813953488413,0.0,0.34887082204155373,1.0,1.0,1.0,6.097962548753211e-07,1.0,1.0
4,1935.0,0.005115274805575609,0,0,1,0.24242424242424243,0.0,0.4154135338345865,1.0,1.0,1.0,0.04738219004819807,1.0,1.0
5,,0.0,0,0,0,,,,,,,,,
6,8155.0,0.00717861857265234,0,0,1,0.31999999999999995,0.0,0.6126373626373627,1.0,1.0,1.0,0.7044906891924468,1.0,1.0
7,2110.0,0.9999027252197266,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.8670124458708468,1.0,1.0
8,151.0,0.034987062215805054,0,0,1,0.8687782805429864,0.5384615384615384,0.9574326198220003,1.0,1.0,1.0,4.6167827902958e-08,1.0,1.0
9,962.0,0.005115274805575609,0,0,1,0.23529411764705888,0.0,0.40238095238095245,1.0,1.0,1.0,3.340410549818215e-07,1.0,1.0
10,5940.0,0.022250643000006676,0,0,1,0.4029850746268657,0.0,0.6882012126656187,1.0,1.0,1.0,0.6791727033951406,1.0,1.0
11,2384.0,0.034987062215805054,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.13325965482022883,1.0,1.0
12,,0.0,0,0,0,,,,,,,,,
13,2931.0,0.005115274805575609,0,0,1,0.2790697674418605,0.0,0.4907635467980295,1.0,1.0,1.0,0.23056523091368783,1.0,1.0
14,,0.0,0,0,0,,,,,,,,,
15,,0.0,0,0,0,,,,,,,,,
16,4308.0,0.005115274805575609,0,0,1,0.045112781954887216,0.0,0.3649097815764482,1.0,1.0,1.0,3.292792472412985e-08,1.0,1.0
17,8146.0,0.005969837307929993,0,0,1,1.0,1.0,1.0,0.303030303030303,0.0,0.47356442577030816,0.10680179995514366,1.0,1.0
18,2108.0,0.034987062215805054,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.8139702815988629,1.0,1.0
19,2761.0,0.034987062215805054,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.2635800236829722,1.0,1.0
20,2384.0,0.034987062215805054,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.15001804749630854,1.0,1.0
21,8150.0,0.9998683929443359,1,0,1,0.52,0.2727272727272727,0.822704991087344,1.0,1.0,1.0,0.850268388773535,1.0,1.0
22,984.0,0.005115274805575609,0,0,1,0.30000000000000004,0.0,0.5518925518925518,1.0,1.0,1.0,0.0878093403512107,1.0,1.0
23,957.0,0.034987062215805054,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.07796306966770075,1.0,1.0
24,151.0,0.005115274805575609,0,0,1,0.06134969325153372,0.0,0.33265993265993266,1.0,1.0,1.0,4.6167827902958e-08,1.0,1.0
25,474.0,0.005115274805575609,0,0,1,0.16666666666666663,0.0,0.45598845598845594,1.0,1.0,1.0,0.05272129797269867,1.0,1.0
26,5940.0,0.005115274805575609,0,0,1,0.16000000000000003,0.0,0.3978662503252666,1.0,1.0,1.0,0.16977215286646133,1.0,1.0
27,,0.0,0,0,0,,,,,,,,,
28,6050.0,0.005115274805575609,0,0,1,0.14141414141414144,0.0,0.4301820728291316,1.0,1.0,1.0,0.169509367378944,1.0,1.0
29,156.0,0.005115274805575609,0,0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.6112960879020023e-07,1.0,1.0
30,,0.0,0,0,0,,,,,,,,,
31,2898.0,0.008510775864124298,0,0,1,0.375,0.0,0.4761904761904761,1.0,1.0,1.0,0.17389116928023,1.0,1.0
32,1230.0,0.005115274805575609,0,0,1,0.27586206896551724,0.0,0.4577922077922078,1.0,1.0,1.0,0.6584807581535171,1.0,1.0
33,,0.0,0,0,0,,,,,,,,,
34,2929.0,0.034987062215805054,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.1863673661508022,1.0,1.0
35,,0.0,0,0,0,,,,,,,,,
36,6031.0,0.034987062215805054,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.11862709307648106,1.0,1.0
37,1054.0,0.005115274805575609,0,0,1,0.25531914893617025,0.0,0.47546897546897543,1.0,1.0,1.0,4.8922547715677756e-08,1.0,1.0
38,8142.0,0.005969837307929993,0,0,1,1.0,1.0,1.0,0.2857142857142857,0.0,0.5236430236430237,0.1466916965973,1.0,1.0
39,,0.0,0,0,0,,,,,,,,,
40,,0.0,0,0,0,,,,,,,,,
41,,0.0,0,0,0,,,,,,,,,
42,2175.0,0.005115274805575609,0,0,1,0.25,0.0,0.488232074438971,1.0,1.0,1.0,0.2730916920331696,1.0,1.0
43,4403.0,0.034987062215805054,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.008534369914046285,1.0,1.0
44,6041.0,0.034987062215805054,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.503982417691433,1.0,1.0
45,56.0,0.005115274805575609,0,0,1,0.23529411764705888,0.0,0.40238095238095245,1.0,1.0,1.0,0.016653847257861926,1.0,1.0
46,5942.0,0.011514551937580109,0,0,1,0.35365853658536583,0.1111111111111111,0.6319400352733686,1.0,1.0,1.0,0.3116294243828318,1.0,1.0
47,4315.0,0.034987062215805054,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.496941246972459e-07,1.0,1.0
48,8201.0,0.005115274805575609,0,0,1,0.11111111111111116,0.0,0.3391053391053391,1.0,1.0,1.0,0.8350281564405544,1.0,1.0
49,4315.0,0.034987062215805054,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.18576543281318778,1.0,1.0
50,2067.0,0.005115274805575609,0,0,1,0.2666666666666667,0.0,0.5314699792960663,1.0,1.0,1.0,0.8228223457700966,1.0,1.0
51,4310.0,0.034987062215805054,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.19610950350221368,1.0,1.0
52,8155.0,0.01159631833434105,0,0,1,0.3870967741935484,0.0,0.6144502390265102,1.0,1.0,1.0,0.6823513301749998,1.0,1.0
53,1950.0,0.005115274805575609,0,0,1,0.20512820512820518,0.0,0.44325396825396823,1.0,1.0,1.0,0.14795019944351648,1.0,1.0
54,8386.0,0.034987062215805054,0,0,1,0.41758241758241754,0.09090909090909091,0.6946581196581197,1.0,1.0,1.0,0.14630285766111414,1.0,1.0
55,,0.0,0,0,0,,,,,,,,,
56,,0.0,0,0,0,,,,,,,,,
57,9.0,0.005115274805575609,0,0,1,0.21212121212121215,0.0,0.5021978021978022,1.0,1.0,1.0,0.22572389571821735,1.0,1.0
58,151.0,0.005115274805575609,0,0,1,0.06134969325153372,0.0,0.33265993265993266,1.0,1.0,1.0,0.20524195237282222,1.0,1.0
59,2126.0,0.005115274805575609,0,0,1,0.16417910447761197,0.0,0.5412698412698412,1.0,1.0,1.0,0.26626754014998416,1.0,1.0
60,,0.0,0,0,0,,,,,,,,,
61,,0.0,0,0,0,,,,,,,,,
62,2106.0,0.034987062215805054,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.27767300976811843,1.0,1.0
63,5232.0,0.005115274805575609,0,0,1,0.2823529411764706,0.0,0.5141167775314117,1.0,1.0,1.0,0.05352451993028032,1.0,1.0
