pair_id,type,perturbations,cpv_varied,cae_levenshtein,cae_jaccard,cae_jaro_winkler,win_levenshtein,win_jaccard,win_jaro_winkler,value_ratio,cpv_match,country_match,label
dup_475,synthetic_duplicate,abbreviation,0,0.9421487603305785,0.7777777777777778,0.876438221991761,0.8727272727272728,0.3333333333333333,0.9167992926613617,0.8711640391205426,1,1,1
dup_1343,synthetic_duplicate,punctuation_spacing,0,0.9291338582677166,0.14285714285714285,0.9309986211998924,0.8813559322033898,0.25,0.9064898320070734,0.900510070101476,1,1,1
non_752,real_non_duplicate,none,0,0.4666666666666667,0.2,0.5072182719241543,0.30000000000000004,0.0,0.5761111111111111,0.5458823529411765,0,1,0
dup_1122,synthetic_duplicate,"word_drop,abbreviation",0,0.8181818181818181,0.75,0.9051282051282051,0.9333333333333333,0.16666666666666666,0.9737486095661847,0.879743118939386,1,1,1
non_1758,real_non_duplicate,none,0,0.2857142857142857,0.0,0.589233319815844,0.3076923076923077,0.125,0.271505376344086,0.01,0,1,0
non_1684,real_non_duplicate,none,0,0.3508771929824561,0.08333333333333333,0.5870189266773707,0.4285714285714286,0.14285714285714285,0.5534391534391534,4.796463129796463e-06,0,1,0
non_400,real_non_duplicate,none,0,0.04347826086956519,0.0,0.3731601731601732,0.031746031746031744,0.0,0.35775193798449617,0.1363432,0,0,0
non_474,real_non_duplicate,none,0,0.46153846153846156,0.0625,0.6781345368579411,0.2222222222222222,0.0,0.45714285714285713,0.49406961357949686,0,1,0
dup_812,synthetic_duplicate,"encoding,word_order",0,0.9814814814814815,0.8571428571428571,0.9587650085763294,0.9393939393939394,0.8333333333333334,0.9507352941176471,0.9077133089650692,1,1,1
non_1659,real_non_duplicate,none,0,0.37777777777777777,0.0,0.5896103896103896,0.21052631578947367,0.0,0.5314814814814816,0.04551135270846053,0,1,0
dup_255,synthetic_duplicate,"name_truncation,case",0,0.9803921568627451,0.6,0.9923076923076923,0.9666666666666667,0.8,0.918131256952169,0.983245130583057,1,1,1
dup_1349,synthetic_duplicate,"name_truncation,word_drop,encoding",1,0.5333333333333333,0.125,0.6493862046122635,0.5482233502538071,0.0,0.6684134082482895,0.8723758841972117,0,1,1
