synthetic_index,matched_real_index,p_duplicate,near_duplicate,exact_match,blocking_match,cae_levenshtein,cae_jaccard,cae_jaro_winkler,win_levenshtein,win_jaccard,win_jaro_winkler,value_ratio,cpv_match,country_match
0,2877.0,0.00717861857265234,0,0,1,0.32558139534883723,0.0,0.6132539682539683,1.0,1.0,1.0,0.01302565291915514,1.0,1.0
1,,0.0,0,0,0,,,,,,,,,
2,5942.0,0.005115274805575609,0,0,1,0.06579468886246531,0.0,0.4494248907292386,1.0,1.0,1.0,0.3078058407278828,1.0,1.0
3,,0.0,0,0,0,,,,,,,,,
4,,0.0,0,0,0,,,,,,,,,
5,1800.0,0.005115274805575609,0,0,1,0.25,0.0,0.47724089635854344,1.0,1.0,1.0,2.7397260273972602e-08,1.0,1.0
6,,0.0,0,0,0,,,,,,,,,
7,5504.0,0.005115274805575609,0,0,1,0.14634146341463417,0.0,0.33068783068783064,1.0,1.0,1.0,3.240650722665111e-07,1.0,1.0
8,,0.0,0,0,0,,,,,,,,,
9,6293.0,0.9181942343711853,1,0,1,0.12765957446808507,0.0,0.37814023247094114,1.0,1.0,1.0,0.9432510762146247,1.0,1.0
10,,0.0,0,0,0,,,,,,,,,
11,,0.0,0,0,0,,,,,,,,,
12,6109.0,0.005115274805575609,0,0,1,0.049180327868852514,0.0,0.36634199134199136,1.0,1.0,1.0,0.15182546401905272,1.0,1.0
13,,0.0,0,0,0,,,,,,,,,
14,,0.0,0,0,0,,,,,,,,,
15,7083.0,0.00029870678554289043,0,0,1,0.38888888888888884,0.0,0.5200216450216449,0.19354838709677424,0.0,0.42079772079772076,0.054328196295894554,1.0,1.0
16,9409.0,0.0011036336654797196,0,0,1,0.3738317757009346,0.0,0.6517967127723224,0.18181818181818177,0.0,0.46282941595441596,0.009856158696957027,1.0,1.0
17,151.0,0.005115274805575609,0,0,1,0.04379562043795615,0.0,0.37707535121328223,1.0,1.0,1.0,0.2143064439365902,1.0,1.0
18,,0.0,0,0,0,,,,,,,,,
